,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",24,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","[[[1, 2], [1, 9]], [[1, 2], [1, 17]], [[1, 9], [1, 17]], [[2, 3], [2, 9]], [[4, 5], [4, 42]], [[5, 6], [5, 9]], [[5, 6], [5, 17]], [[5, 6], [5, 42]], [[5, 9], [5, 17]], [[5, 9], [5, 42]], [[5, 17], [5, 42]], [[6, 7], [6, 8]], [[6, 7], [6, 17]], [[6, 7], [6, 28]], [[6, 7], [6, 42]], [[6, 8], [6, 17]], [[6, 8], [6, 28]], [[6, 8], [6, 42]], [[6, 17], [6, 28]], [[6, 17], [6, 42]], [[6, 28], [6, 42]], [[7, 8], [7, 16]], [[7, 8], [7, 28]], [[7, 16], [7, 28]]]"
1,"{0: [1], 1: [2], 'Matched': True}",15,"{0, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","[[[1, 2], [2, 3]], [[1, 2], [2, 9]], [[2, 3], [3, 49]], [[4, 5], [5, 6]], [[4, 5], [5, 9]], [[4, 5], [5, 17]], [[4, 5], [5, 42]], [[5, 6], [6, 7]], [[5, 6], [6, 8]], [[5, 6], [6, 17]], [[5, 6], [6, 28]], [[5, 6], [6, 42]], [[6, 7], [7, 8]], [[6, 7], [7, 16]], [[6, 7], [7, 28]]]"
2,"{0: [1], 2: [1], 'Matched': True}",11,"{1, 2, 4, 7, 9, 10, 11, 13, 14, 15, 16, 17, 19}","[[[1, 9], [2, 9]], [[1, 9], [5, 9]], [[1, 17], [5, 17]], [[1, 17], [6, 17]], [[2, 9], [5, 9]], [[4, 42], [5, 42]], [[4, 42], [6, 42]], [[5, 17], [6, 17]], [[5, 42], [6, 42]], [[6, 8], [7, 8]], [[6, 28], [7, 28]]]"
3,"{0: [1, 2], 1: [0], 'Matched': True}",0,set(),[]
4,"{0: [1, 2], 1: [2], 'Matched': True}",6,"{0, 1, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19}","[[[1, 2], [1, 9], [2, 9]], [[4, 5], [4, 42], [5, 42]], [[5, 6], [5, 17], [6, 17]], [[5, 6], [5, 42], [6, 42]], [[6, 7], [6, 8], [7, 8]], [[6, 7], [6, 28], [7, 28]]]"
5,"{0: [1], 1: [0], 2: [0], 'Matched': True}",0,set(),[]
6,"{0: [1], 1: [2], 2: [0], 'Matched': True}",0,set(),[]
7,"{0: [1, 2], 1: [0, 2], 'Matched': True}",0,set(),[]
8,"{0: [1, 2], 1: [0], 2: [0], 'Matched': True}",0,set(),[]
9,"{0: [1, 2], 1: [0], 2: [1], 'Matched': True}",0,set(),[]
10,"{0: [1, 2], 1: [2], 2: [1], 'Matched': True}",0,set(),[]
11,"{0: [1, 2], 1: [0, 2], 2: [0], 'Matched': True}",0,set(),[]
12,"{0: [1, 2], 1: [0, 2], 2: [0, 1], 'Matched': True}",0,set(),[]
