,Gene A,Gene B,Activation/Repression,delta
0,1,2,2,0
1,3,2,1,0
2,4,5,2,0
3,6,5,1,0
4,7,5,1,0
5,8,9,1,0
6,10,11,1,0
7,12,13,1,0
8,12,1,1,0
9,14,3,1,0
10,15,3,1,0
11,13,3,2,0
12,16,3,1,0
13,17,6,2,0
14,18,14,1,0
15,19,14,1,0
16,12,4,1,0
17,9,4,2,0
18,3,20,2,0
19,16,20,1,0
20,19,20,1,0
21,21,19,1,0
22,12,22,1,0
23,9,22,2,0
24,22,22,1,0
25,5,15,1,0
26,4,15,2,0
27,12,23,1,0
28,15,12,2,0
29,11,12,1,0
30,6,24,2,0
31,20,25,1,0
32,20,10,1,0
33,22,10,1,0
34,12,26,2,0
35,25,26,1,0
36,17,26,1,0
37,1,17,2,0
38,26,17,1,0
39,2,8,1,0
40,17,8,1,0
41,15,27,1,0
42,8,7,1,0
43,28,16,1,0
44,18,16,1,0
