,Gene A,Gene B,Activation/Repression,delta
0,1,2,1,0
1,3,2,1,0
2,4,5,1,0
3,6,7,1,0
4,8,9,1,0
5,10,9,1,0
6,11,12,1,0
7,13,14,1,0
8,15,14,1,0
9,16,17,1,0
10,18,17,1,0
11,6,19,1,0
12,6,20,1,0
13,6,21,1,0
14,6,1,1,0
15,22,23,1,0
16,24,23,1,0
17,6,25,1,0
18,26,27,1,0
19,28,29,1,0
20,6,30,1,0
21,31,32,1,0
22,6,33,1,0
23,6,34,1,0
24,35,36,1,0
25,37,38,1,0
26,21,38,1,0
27,17,39,1,0
28,40,39,1,0
29,41,42,1,0
30,43,44,1,0
31,45,44,1,0
32,2,44,1,0
33,46,44,1,0
34,22,47,1,0
35,24,47,1,0
36,48,47,1,0
37,26,47,1,0
38,49,50,1,0
39,51,24,1,0
40,6,52,1,0
41,53,54,1,0
42,55,54,1,0
43,40,54,1,0
44,22,56,1,0
45,50,56,1,0
46,57,58,1,0
47,59,58,1,0
48,6,60,1,0
49,61,62,1,0
50,18,62,1,0
51,63,64,1,0
52,65,64,1,0
53,29,64,1,0
54,66,64,1,0
55,67,68,1,0
56,43,68,1,0
57,45,68,1,0
58,46,68,1,0
59,26,69,1,0
60,70,71,1,0
61,6,72,1,0
62,73,74,1,0
63,75,74,1,0
64,6,76,1,0
65,77,78,1,0
66,4,79,1,0
67,22,80,1,0
68,26,81,1,0
69,6,82,1,0
70,83,84,1,0
71,78,84,1,0
72,85,84,1,0
73,22,84,1,0
74,86,84,1,0
75,24,84,1,0
76,26,84,1,0
77,87,84,1,0
78,48,88,1,0
79,89,90,1,0
80,25,90,1,0
81,91,90,1,0
82,92,90,1,0
83,93,90,1,0
84,94,90,1,0
85,72,90,1,0
86,95,96,1,0
87,89,97,1,0
88,98,97,1,0
89,37,99,1,0
90,6,100,1,0
91,68,101,1,0
92,73,101,1,0
93,102,103,1,0
94,73,104,1,0
95,105,104,1,0
96,106,107,1,0
97,6,108,1,0
98,6,109,1,0
99,110,111,1,0
100,112,113,1,0
101,114,113,1,0
102,115,65,1,0
103,101,116,1,0
104,106,117,1,0
105,6,46,1,0
106,118,119,1,0
107,120,121,1,0
108,122,123,1,0
109,124,125,1,0
110,53,125,1,0
111,126,127,1,0
112,6,128,1,0
113,129,66,1,0
114,130,66,1,0
115,6,131,1,0
116,120,132,1,0
117,22,133,1,0
118,134,135,1,0
119,136,135,1,0
120,137,135,1,0
121,138,139,1,0
122,89,139,1,0
123,140,139,1,0
124,25,141,1,0
125,142,141,1,0
126,143,144,1,0
127,36,144,1,0
128,145,146,1,0
129,111,146,1,0
130,6,147,1,0
131,98,148,1,0
132,73,148,1,0
133,42,87,1,0
134,71,105,1,0
135,149,105,1,0
136,109,105,1,0
137,43,105,1,0
138,45,105,1,0
139,46,105,1,0
140,110,150,1,0
141,151,152,1,0
142,132,152,1,0
143,6,153,1,0
144,104,154,1,0
145,101,154,1,0
146,155,154,1,0
147,148,154,1,0
148,156,154,1,0
149,157,154,1,0
150,74,154,1,0
151,158,154,1,0
152,93,154,1,0
153,159,154,1,0
154,6,160,1,0
155,120,161,1,0
156,162,161,1,0
157,118,163,1,0
158,6,164,1,0
159,131,165,1,0
160,166,165,1,0
161,167,165,1,0
162,6,168,1,0
163,6,169,1,0
164,6,170,1,0
165,147,171,1,0
166,36,171,1,0
