,Gene A,Gene B,Activation/Repression,delta
42,13,16,2,0
35,11,12,2,0
56,16,32,2,0
37,12,13,2,0
5,3,49,2,0
6,4,5,2,0
7,4,42,2,0
29,10,11,1,0
45,14,15,1,0
24,8,16,2,0
43,13,18,2,0
10,5,17,2,0
20,7,44,2,0
44,13,32,2,0
15,6,28,2,0
54,16,17,2,0
3,2,3,1,0
49,14,36,2,0
12,6,7,1,0
41,13,15,2,0
31,10,13,2,0
36,11,18,2,0
14,6,17,2,0
25,8,18,2,0
17,7,8,2,0
28,9,17,2,0
22,8,11,2,0
16,6,42,2,0
47,14,18,2,0
48,14,32,1,0
53,15,37,2,0
38,12,14,2,0
2,1,17,2,0
32,10,14,2,0
23,8,14,2,0
27,8,28,2,0
26,8,19,2,0
50,15,16,2,0
11,5,42,1,0
19,7,28,2,0
21,8,10,2,0
0,1,2,1,0
34,10,18,2,0
30,10,12,2,0
1,1,9,2,0
40,13,14,2,0
57,16,33,2,0
33,10,17,2,0
39,12,18,2,0
18,7,16,2,0
